tconst,character
tt0371746,Tony Stark
tt0371746,Pepper Potts
tt0371746,Lt. Col. James 'Rhodey' Rhodes
tt0371746,Obadiah Stane
tt0458339,Captain America
tt0458339,Johann Schmidt
tt0458339,Nick Fury
tt0458339,Peggy Carter
tt0478970,Scott Lang
tt0478970,Dr. Hank Pym
tt0478970,Darren Cross
tt0478970,Hope Van Dyne
tt0800080,Bruce Banner
tt0800080,Betty Ross
tt0800080,Emil Blonsky
tt0800080,General 'Thunderbolt' Ross
tt0800369,Thor
tt0800369,Odin
tt0800369,Jane Foster
tt0800369,Loki
tt0848228,Tony Stark
tt0848228,Steve Rogers
tt0848228,Natasha Romanoff
tt0848228,Clint Barton
tt1211837,Dr. Stephen Strange
tt1211837,Mordo
tt1211837,Dr. Christine Palmer
tt1211837,Wong
tt1228705,Tony Stark
tt1228705,Ivan Vanko
tt1228705,Pepper Potts
tt1228705,Lt. Col. James 'Rhodey' Rhodes
tt1300854,Tony Stark
tt1300854,Aldrich Killian
tt1300854,Pepper Potts
tt1300854,Colonel James Rhodes
tt1825683,T'Challa
tt1825683,Erik Killmonger
tt1825683,Nakia
tt1825683,Okoye
tt1843866,Steve Rogers
tt1843866,Nick Fury
tt1843866,Natasha Romanoff
tt1843866,Alexander Pierce
tt1981115,Thor
tt1981115,Jane Foster
tt1981115,Loki
tt1981115,Erik Selvig
tt2015381,Peter Quill
tt2015381,Groot
tt2015381,Rocket
tt2015381,Gamora
tt2250912,Peter Parker
tt2250912,Adrian Toomes
tt2250912,Tony Stark
tt2250912,May Parker
tt2395427,Tony Stark
tt2395427,Steve Rogers
tt2395427,Bruce Banner
tt2395427,Thor
tt3375556,Shalchi
tt3375556,Shahram
tt3375556,The Children Parents
tt3375556,The shop worker
tt3498820,Steve Rogers
tt3498820,Tony Stark
tt3498820,Natasha Romanoff
tt3498820,Bucky Barnes
tt3501632,Thor
tt3501632,Loki
tt3501632,Hela
tt3501632,Bruce Banner
tt3896198,Peter Quill
tt3896198,Gamora
tt3896198,Drax
tt3896198,Baby Groot
tt4154664,Carol Danvers
tt4154664,Nick Fury
tt4154664,Talos
tt4154664,Yon-Rogg
tt4154756,Tony Stark
tt4154756,Thor
tt4154756,Bruce Banner
tt4154756,Steve Rogers
tt4154796,Tony Stark
tt4154796,Steve Rogers
tt4154796,Bruce Banner
tt4154796,Thor
tt5095030,Scott Lang
tt5095030,Hope Van Dyne
tt5095030,Luis
tt5095030,Sonny Burch
tt0371746,Iron Man
tt0458339,Steve Rogers
tt0458339,Red Skull
tt0478970,Ant-Man
tt0478970,Yellowjacket
tt0848228,Iron Man
tt0848228,Captain America
tt0848228,Black Widow
tt0848228,Hawkeye
tt1825683,Black Panther
tt1843866,Captain America
tt1843866,Black Widow
tt2250912,Spider-Man
tt2250912,Vulture
tt2250912,Iron Man
tt2395427,Iron Man
tt2395427,Captain America
tt2395427,Hulk
tt3498820,Captain America
tt3498820,Iron Man
tt3498820,Black Widow
tt3498820,Winter Soldier
tt3501632,Hulk
tt3896198,Star-Lord
tt4154664,Vers
tt4154664,Keller
tt4154756,Iron Man
tt4154756,Hulk
tt4154756,Captain America
tt4154796,Iron Man
tt4154796,Captain America
tt4154796,Hulk
tt5095030,Ant-Man
tt5095030,Wasp
tt4154664,Captain Marvel
